Employee ID,Full Name,Email,Phone,Address,Department,Role,Date of Joining,Basic Salary (INR)
EMP0001,Richard White DDS,danielpatel@gmail.com,699.744.9325,"6646 Kimberly Villages Apt. 205, New Cathystad, WA 44451",Sales,Analyst,2017-07-30,41185
EMP0002,Charles Smith PhD,garyconrad@yahoo.com,001-951-786-0705x4623,"72001 Jonathan Harbor Apt. 852, Port Kyle, WV 02367",Finance,Manager,2024-11-18,48246
EMP0003,Kim Jenkins,scott21@miller.net,5698952229,"441 Thompson Drives Suite 102, New Jerrychester, WV 52534",Marketing,Executive,2022-12-06,24254
EMP0004,Kristina Schneider,austinshannon@lawson.com,(127)089-5367x74545,"586 Munoz Stream, East Alexstad, AR 96080",Finance,Assistant,2025-04-03,83845
EMP0005,Stephanie Powell,rkey@gill.com,129-485-3641,"52920 Anderson Dam Apt. 324, South Brookemouth, SD 82015",HR,Executive,2016-05-20,117445
EMP0006,Virginia Wright DDS,cchapman@yahoo.com,887-048-3543,"682 Murray Way Suite 408, Port William, NY 32625",Support,Analyst,2019-02-10,59440
EMP0007,Darlene Eaton,deckermelissa@hotmail.com,+1-897-657-1679,"88462 Fleming Extension, South David, GA 62901",Support,Executive,2018-03-19,104984
EMP0008,Sharon Hunter,carsonchristopher@santiago-pena.net,001-357-235-6179x975,"48675 Smith Unions Suite 297, Gailburgh, HI 36416",Finance,Assistant,2019-11-17,69564
EMP0009,Erika Arnold,vmurray@leach.net,(675)370-9468,"819 Ryan Valley Suite 255, Gutierrezland, FL 26760",Finance,Assistant,2024-02-29,79620
EMP0010,Alexis Navarro,christine77@ewing.com,(481)668-3749x52159,"7433 Ross Stream, Lake Kenneth, VT 91653",Marketing,Intern,2021-10-14,113325
EMP0011,Brandi Edwards,george81@carter.com,+1-502-636-7961x17139,"9258 Karen Ranch Suite 977, Williefort, CO 16005",HR,Analyst,2015-08-25,43402
EMP0012,William Gay,amandaperez@henry-woodward.info,001-396-208-1629x0418,"57158 Cobb Center, Amberview, TN 38996",Support,Analyst,2016-07-22,106762
EMP0013,Allison Carrillo,erin92@yahoo.com,(953)873-0696,"53409 Bowen Path Apt. 202, South Jeremyville, MD 29055",Finance,Assistant,2017-03-08,25810
EMP0014,Anthony Hernandez,xdeleon@cole.biz,+1-199-861-3822x3835,"3934 Michael Spurs Apt. 446, East Sandramouth, ME 10847",Sales,Analyst,2023-05-31,28976
EMP0015,Alicia Kramer,skim@johnson.com,(487)534-8336x4273,"6419 Michael Hills, North Cynthia, IL 85826",Finance,Manager,2016-02-23,21485
EMP0016,Tiffany Boyd,bradfordjacqueline@yahoo.com,+1-409-183-8670x63152,"7119 Anderson Passage Suite 024, Martinezfurt, CO 81137",IT,Manager,2019-02-18,89674
EMP0017,Emily Brooks,gutierrezheather@gmail.com,(029)827-8005,"USNV Webster, FPO AP 36179",Marketing,Developer,2023-01-03,85041
EMP0018,Virginia Romero,annamcdowell@smith-salazar.org,083-656-2853,"2047 Bryan Mills, Normabury, ID 31472",HR,Analyst,2017-01-19,65222
EMP0019,Carla Cooper,hflores@hotmail.com,8362783851,"5295 Gates Heights, Cartershire, NY 34331",Finance,Developer,2019-10-01,66529
EMP0020,Marcus Powell,alexiskelley@gregory-levy.com,001-147-360-3042x15227,"512 Smith Flats Suite 739, Rebekahberg, ND 86438",Support,Analyst,2021-04-15,43757
EMP0021,Wanda Richards,vmorrow@yahoo.com,+1-852-674-9386x2933,"PSC 3089, Box 3471, APO AA 70613",Support,Intern,2016-05-11,29783
EMP0022,Samantha Horton,qadkins@yahoo.com,(576)657-5969x6259,"PSC 9689, Box 3815, APO AA 25642",Marketing,Executive,2017-08-25,40959
EMP0023,Steven Massey,deanadam@young.biz,179-013-9029,"068 Baker Bridge, North Kristaberg, ME 28658",Finance,Developer,2024-09-27,78149
EMP0024,Louis Garcia,kaylaprice@gmail.com,(285)561-8310x75354,"244 Ashley Underpass, Katrinachester, LA 78019",HR,Executive,2020-02-20,61456
EMP0025,Wayne Rose,reneefields@valenzuela.net,(525)134-1711x53254,"971 Amanda Knoll, South John, MI 05056",HR,Executive,2020-04-21,38949
EMP0026,Amy Smith,kbaker@gmail.com,122.534.9356,"0774 Gerald Wells Apt. 539, New Hector, NM 78970",IT,Manager,2024-03-05,69297
EMP0027,Eric Johnson,raymond40@hotmail.com,+1-218-528-8536,"48038 Baldwin Avenue Apt. 422, East Carolton, LA 28723",IT,Developer,2019-05-21,94109
EMP0028,Mary Velasquez,james49@tran.info,8648591741,"654 Ibarra Garden Suite 912, Fisherview, SC 84397",Sales,Developer,2024-01-09,94319
EMP0029,Kyle Baker,jamesaaron@hotmail.com,168.803.0259,"USNV David, FPO AP 57126",Finance,Assistant,2021-10-14,49657
EMP0030,Isabel Villarreal,robertcabrera@gmail.com,331.714.8791,"9961 Young Avenue, Lake Denniston, CA 06475",IT,Executive,2017-03-28,68710
EMP0031,Ricky Gutierrez,masonbethany@gmail.com,947.354.9585,"6473 Daniel Highway, Deborahland, TN 48590",Sales,Intern,2023-11-18,82721
EMP0032,Laura Rodriguez,jonesluis@jenkins.info,(027)672-1565x591,"Unit 5033 Box 9054, DPO AE 03195",Sales,Executive,2023-05-06,20343
EMP0033,Stacy Hill,cwarner@jones-rodriguez.com,(724)979-1447,"5992 Jordan Row, West Barry, NV 42640",HR,Assistant,2015-07-02,44497
EMP0034,Michele Conley,humphreyamanda@jenkins-kennedy.com,001-612-173-0289x041,"9734 Woods Cape Suite 351, North John, LA 58792",Marketing,Assistant,2017-05-04,34997
EMP0035,Diane Spears,nsmith@schmidt.com,+1-521-886-6681x05891,"83203 Cervantes Bridge, Aguirreshire, TX 97123",Support,Developer,2018-07-27,29149
EMP0036,Carol Lyons,meyerpaul@yahoo.com,461.875.0516x09009,"6772 Joseph Track Suite 465, Laurenside, VT 55909",HR,Analyst,2017-12-15,46484
EMP0037,Richard Thomas,quinnsusan@allen.com,172.799.9599x847,"09612 Michelle Ways, Caintown, ND 36618",Finance,Assistant,2024-03-27,77799
EMP0038,Whitney Mendez,mary14@wilson-cochran.com,+1-548-665-4433,"1022 Clark Ford Apt. 463, East Kayla, OR 94710",IT,Developer,2022-01-20,111021
EMP0039,Michelle Mclean,dyoung@yahoo.com,+1-888-885-4973x807,"51395 Reyes Drive, Port Daniel, DE 75631",IT,Assistant,2024-10-06,53178
EMP0040,Tara Adams,tpham@holt-cowan.com,001-285-386-9463x1548,"Unit 6619 Box 6803, DPO AE 03728",HR,Executive,2024-07-07,68178
EMP0041,Michael Martin,yreyes@gmail.com,001-801-719-5752x78399,"234 Wise Corner, New Alexfort, SC 07603",IT,Executive,2017-05-06,93138
